invoice_id,vendor_id,vendor_name,invoice_date,amount,tax,total_amount,status
INV001,V001,ABC Supplies,2026-09-01,10000,1800,11800,PENDING
INV002,V002,XYZ Traders,2026-09-01,5000,900,5900,PENDING
INV003,V001,ABC Supplies,2026-09-02,7000,1260,8260,PENDING
INV004,V003,PQR Industries,2026-09-02,15000,2700,17700,PAID
INV005,V002,XYZ Traders,2026-09-03,8000,1440,9440,PENDING
INV006,V004,LMN Corporation,2026-09-03,12000,2160,14160,PENDING
INV007,V001,ABC Supplies,2026-09-03,6000,1080,7000,PENDING
INV008,V003,PQR Industries,2026-09-04,9000,1620,10620,PENDING
INV009,V005,Global Tech,2026-09-04,20000,3600,23600,PAID
INV010,V002,XYZ Traders,2026-09-05,4000,720,4720,PENDING
INV003,V001,ABC Supplies,2026-09-02,7000,1260,8260,PENDING
INV011,V004,LMN Corporation,2026-09-05,-3000,540,-2460,PENDING
INV012,V005,Global Tech,2026-09-05,11000,1980,12980,PENDING
